Case,Intensity_CoefficientOfVariation,Intensity_Maximum,Intensity_QuartileCoefficientOfVariation,Intensity_Range,Intensity_Skewness,Histogram_CoefficientOfVariation,Histogram_Entropy,Histogram_Mean,Histogram_MedianAbsoluteDeviation,Histogram_NinetiethPercentile,Histogram_RobustMeanAbsoluteDeviation1090,Histogram_RootMeanSquare,Histogram_Skewness,Histogram_StandardDeviation,Histogram_Uniformity,Histogram_Variance,Morphologic_Eccentricity,Morphologic_Elongation,Morphologic_Flatness,Morphologic_LargestComponentSize,Morphologic_NumberOfPixels,Morphologic_Perimeter,Morphologic_PhysicalSize,Morphologic_Roundness,GLCM_ClusterShade,GLCM_Contrast,GLCM_Energy,GLCM_Entropy,GLCM_Homogeneity,GLRLM_HighGreyLevelRunEmphasis_Offset_0,GLRLM_LowGreyLevelRunEmphasis_Offset_0,GLRLM_ShortRunHighGreyLevelEmphasis_Offset_0,GLRLM_ShortRunLowGreyLevelEmphasis_Offset_0,GLSZM_GreyLevelMean,GLSZM_GreyLevelNonUniformity,GLSZM_GreyLevelNonUniformityNormalized,GLSZM_GreyLevelVariance,GLSZM_HighGreyLevelEmphasis,GLSZM_LowGreyLevelEmphasis,GLSZM_SmallZoneEmphasis,GLSZM_SmallZoneHighGreyLevelEmphasis,GLSZM_SmallZoneLowGreyLevelEmphasis,GLSZM_ZonePercentage,GLSZM_ZoneSizeEntropy,GLSZM_ZoneSizeMean,GLSZM_ZoneSizeNonUniformity,GLSZM_ZoneSizeNoneUniformityNormalized,NGTDM_Complexity,NGTDM_Contrast
diffmask001,-0.4877497200896765,0.15355789674565049,0.10978097678208298,0.08576350828718171,-0.8170123501739113,-0.6005061300402494,0.8497411993830765,0.4041005576414428,0.783054174679343,0.6639828801821994,1.118036285233445,0.4540045493375233,-0.6879671701264108,0.6821391395613464,-0.8218166380959017,0.6377103627238788,-0.4468521711858225,-0.867633680802833,0.4061303294501225,-1.1603625448710866,-1.1603625448710866,-0.8150025256661845,-0.9854220839547839,-0.32411343810028825,-0.028736867974752885,1.3431496453890657,-0.8540286437133272,1.0306425065381923,-1.3881985215313248,0.2403702160866573,-0.42996815476097744,0.2503940358344915,-0.4297575591848064,0.5119904599770861,-1.43427419916498,-0.8151280423050563,0.33338938706075605,0.43773397513376006,-0.10057544924587182,-1.4516870595595848,0.3760399120449904,-0.1595907259525839,1.2134562280289651,1.0593086994940815,-0.9969553375068878,-1.148473601026838,-1.461378463587531,1.2234088644933112,1.1416175474372547
diffmask002,0.44971234338061133,3.476323628214412,0.2977027338419679,3.528543360902737,1.9492997305171236,1.6717347701790723,-2.075761290864987,-1.5713679782529286,-0.3604275446012571,-1.3747583749845502,-1.7034216673539693,-1.7291032673022122,1.6500283406529503,-1.9717546274069166,2.2218930708272766,-1.6649100934268617,1.1399329160156153,1.3615967131187972,-0.5932063482864339,-1.0575646362809321,-1.0575646362809321,-0.6694925994920841,-0.7934412212476016,-0.14049003922164988,-0.9948327540594609,-1.377041515585526,2.066060946446342,-1.9184108692103545,1.6225680605918333,-1.3458044826930926,1.5572241502483295,-1.346305344544368,1.834943942215026,-1.733803721660236,-1.1724857035232878,2.5925975241654524,-1.2012137308715227,-1.520457229471527,2.240637730463787,-0.8530776345507579,-1.5855593885510182,2.075457223770507,-1.608826972561141,-1.473133034017564,2.0191024591540776,-1.9884306616189418,-0.7894865173240663,-0.8365937449400865,-1.2275808780129613
diffmask003,-0.16071123990677963,-0.10184623064566216,-0.3952432036534953,-0.06547400162405911,0.13703362257419607,-0.1500402399372054,-0.6873035359544928,-0.8960694845379752,0.9131098107297575,-0.9746118980222214,-0.1794269413482592,-1.014061309070566,-0.30202591447780114,-1.0338067495281904,0.2670635990106142,-1.047983700257036,-1.018297950610208,-1.2017763536726063,0.9260428334745242,1.1412522074386333,1.1412522074386333,-0.035442379007409736,0.13615983946905108,0.46542144372785654,-0.6668631784945943,-1.1627566006282997,0.09609456276493607,-0.6538073665269749,0.7924633921788873,-0.9245188561840743,0.09918863438679776,-0.9316538906653966,0.14776247008217558,-1.56338815716323,3.036827844572578,1.5520500439461777,-1.1832131160299983,-1.4388001635124308,1.3537177132494538,1.8177988152553157,-1.4343058667653132,1.4720440597981723,-0.8062596224856431,-1.903122487351472,0.3124092748163478,1.746655401272124,1.8756485790714363,-1.1471897008159875,-1.151970703093475
diffmask004,-0.30404521427996956,-0.21198629098680088,-0.09092345541160579,-0.18618038707318443,-0.8037730382881166,-0.41705289655979916,-0.19202709003657853,-0.13740032791940635,-0.8603300397092535,-0.16877868521546519,-0.3402841864475698,-0.37924982291773635,-0.5991726119772682,-0.7678784788243064,-0.04339347844879395,-0.8617837924028195,0.12971852307961623,0.19608418774104527,-0.3974176595135851,0.6263036061727854,0.6263036061727854,-0.4078807482238828,-0.3435324881826949,0.5564399988876662,-0.7669814789283563,-1.142607324408933,-0.06644753305668721,-0.27512821781104463,0.6776953897287271,-0.44177705331472966,-0.049088009408859795,-0.45629093878102794,-0.007482025045874011,-1.294410995930117,1.245479543960722,0.41994919468717123,-1.0773660359128363,-1.2730617869759413,1.1812833038261668,2.1747328806355033,-1.2137413760059246,1.3931902142201615,-0.6644967035626256,-1.622571170696574,0.16519077362171003,1.2762025604076974,2.2778105251329555,-0.7229264419355086,-0.9591636564124731
diffmask005,0.3859591968046079,0.3472679491079268,0.6654227559973499,0.3377385567242642,-0.5594326507155122,-0.6937620323503654,0.5838251649212404,-0.036449789020516155,-0.31513889628179576,0.6984938682607449,0.23246644223948407,0.0781545101974274,-0.7070977875829525,0.6179747235457144,-0.5982101814234635,0.5530542212633306,0.20427253884203597,1.5440615256761383,-1.8741641886641647,0.26996386817197243,0.26996386817197243,1.5140554726409958,1.3901360368071747,-1.5371852185759083,0.7756944875571139,0.5601506233172517,-0.6914396542568039,0.6349726018606378,-0.7499031142484238,-0.16636500435858795,-0.3927089796330442,-0.16102964138166784,-0.38991413429231014,0.328719915689831,-0.6346629594807152,-0.5089542587324003,-0.11560995983680922,0.16900202196734446,-0.6414779700079595,-0.19441895087488603,0.2078447971787339,-0.6821233244644292,0.5295984622483976,0.4117618300415274,-0.7845377466584953,-0.271302336056666,-0.1800263457274509,0.6233089732660602,0.6045607566165094
diffmask007,-0.31627031217032203,0.6530163083061071,-0.4208828392861059,0.6577141149781411,-0.03402102557865448,0.1785200299458944,-1.0907525998137413,-1.1473730322242732,0.30933674846310255,-0.9967622170098731,-0.6987494067502574,-1.2662880884987024,-0.1511877794175869,-1.33592236996842,0.883689179688988,-1.2415010300176552,1.1548953003207334,0.6664542650703428,-0.008045498867518356,1.2944965356443803,1.2944965356443803,-0.05321679670714339,0.29605318249010154,1.0181091474678357,-0.7011947327907683,-1.483595815220388,0.9462676785305676,-1.1834574635928627,1.33363316591124,-1.0551773484437486,0.030961835904364805,-1.0604101642645656,0.04583638008822393,-1.3003697744874922,1.2470283186926685,1.6082484466404097,-1.3893838466783137,-1.3610486036828198,0.18044125614987394,1.2441269916647513,-1.356385610832497,0.2726815330549646,-1.5972157591376897,-1.678264583062664,1.9736197635286672,0.36431943678304163,1.2708054757340757,-1.4759098930753023,-1.1655292399700412
diffmask008,0.45848340885252403,-0.14216394993190756,1.173903488891063,-0.10241341588910051,-0.5572148685421175,-0.5622331979869648,0.7559515427009538,0.45505453912414134,0.9164003803575987,0.6559517414424313,0.8994493996281625,0.4898500764592281,-0.41451904351688434,0.6671191975768922,-0.6861236493728107,0.6205002817480059,-0.10680088914006482,-0.5936901658294461,0.5101466045651207,-0.6306599903376403,-0.6306599903376403,-0.357416650376147,-0.08704156080867312,1.3336874442310405,0.08595643313248763,0.4272850648574786,-0.6301600877178556,0.6823433701499574,-0.6295201689067759,0.2945549126962231,-0.4069205583604682,0.29911509111606066,-0.4027509234475126,0.9488096238180984,-0.8426661612009838,-0.8395914449864651,0.450366002116561,0.9012622277007074,-0.5955914578428573,-0.3527023218571042,0.9834241467274624,-0.5890419009468754,0.4442094143750869,0.8112185119456856,-0.6589798432954084,-0.1172465950802103,-0.376665768901711,0.9315579779129846,0.5687600248788598
diffmask009,0.016759232375449025,0.8977157853672051,-0.5188016477315199,0.9297408052131648,1.173553991772048,1.0026691386855286,-1.8135312798643028,-1.407696325285514,-0.30630604371080605,-1.8019937850040206,-2.2374985544064336,-1.554947916493674,0.8435604296328622,-1.7599665080782323,1.9564542906848468,-1.4378786730871116,0.8162192947499979,0.01630216005341825,0.5279166207120937,1.0078248423921852,1.0078248423921852,-0.23068117908282856,0.022187629603735978,0.9886961282370521,-0.7407643099052235,-1.6517962249980476,2.0549544535369653,-1.857777211929362,1.8096594952887568,-1.1906578548765845,0.4483706588968458,-1.1943679548028148,0.481991367650098,-1.4557481013464786,0.5452506982730109,1.234465254524294,-0.9536374223351404,-1.322545321904909,1.302606899613172,0.920364257171455,-1.331973658407063,1.432562331285623,-1.6988871621394257,-1.2719365289750137,2.4965898051752236,-0.004462496041058254,0.8648620255262206,-1.712402209082079,-1.1995824833676307
diffmask010,2.44530982088765,1.8862315188496073,-0.06745459912693412,1.9196177427618797,3.1768564836342015,2.671025003052757,-2.123033207701228,-1.443446520955429,-0.40041489785762163,-1.8341924012820454,-2.303479510136495,-1.3234011115860977,2.6135222089243375,-1.2558886525379176,2.4232072021194786,-1.1985494345811467,0.4861326027451212,1.8218526478829755,-1.9010152333706092,2.2613216693251093,2.2613216693251093,1.445598318558248,1.186641894535191,-1.5370636841951086,-0.3439804052624628,-1.5466712996217515,2.5218697503664522,-2.1544282835356774,2.0626963880876765,-1.1664452669483971,1.4621503458009981,-1.1656284356474547,1.5109271629630683,-0.9153954486836432,2.1341876185436193,3.6882773757122127,1.6675792172996142,-0.3095200313727075,0.9167272663551421,1.094508192165536,-0.2686137264284733,0.9991345737190349,-1.4655248852378653,-1.6780732587766132,1.5148385575132473,0.1581293167559262,1.0443145132135558,-1.7468734219788729,-1.1563114996211303
diffmask011,-0.01736056869657973,1.0948011180607091,0.19027476046346498,0.9740065512158383,-0.21877955058141935,-0.32722759519212014,0.8288038131876945,0.18630365830696555,0.2299379109768596,0.6617414100574055,0.6106854221131339,0.375724344946004,-0.15894343439412079,1.0396403400127856,-0.7276331778979295,1.1072900104784165,0.2561400713041575,-0.7680228602099108,1.214732725666475,-1.1548449133692746,-1.1548449133692746,-1.0458906027034467,-1.0471334680149766,0.9308400618461945,0.28646050640743037,1.949323646476853,-0.7567644308435677,0.8857875459932112,-1.3260142885776216,0.13203118124696878,-0.39033761215590285,0.14463997941621035,-0.38333271801034496,1.6318351479948967,-1.5070648590045967,-0.7824730618830326,0.4697494157611651,1.663432156649725,-1.038348399811369,-2.0045783558373844,1.767502271842136,-1.1973179647329157,1.054275068577337,1.3169360488933388,-0.8748788747429004,-1.3159875898950666,-2.0597620197253517,2.0577839325032508,1.4352114907865527
